ID,Work Item Type,Title 1,Title 2,Title 3, Title 4, Assigned To,Tags
,"Epic","CAF Project Check-Lists",,,,,""
,"Feature",,"Application / Features",,,,"Application;plan"
,"User Story",,,"Business requirements",,,"Application;plan"
,"User Story",,,"Application architecture",,,"Application;plan"
,"Task",,,,"Application component",,"Application;plan"
,"Task",,,,"Application framework",,"Application;plan"
,"Task",,,,"Application dependencies",,"Application;plan"
,"User Story",,,"Target performance",,,"Application;plan"
,"User Story",,,"Load test tool & methodology",,,"Application;plan"
,"User Story",,,"Artifact creation manual",,,"Application;plan"
,"Feature",,"Infrastructure / Security Requirements",,,,"Infrastructure;plan"
,"User Story",,,"Elastic, resiliency architecture and landing zone",,,"Infrastructure;plan"
,"User Story",,,"Governance, security and IAM",,,"Infrastructure;plan"
,"User Story",,,"Provisioning and change automation",,,"Infrastructure;plan"
,"Feature",,"Operations",,,,"Operations;plan"
,"User Story",,,"Security and compliance requirement",,,"Operations;plan"
,"User Story",,,"Application insights and monitor workbook",,,"Operations;plan"
,"User Story",,,"High availability and disaster recovery manual",,,"Operations;plan"
,"Epic","Deployment Dev environment",,,,,""
,"Feature",,"Landing zone deployment",,,,"Infrastructure;plan"
,"User Story",,,"Landing zone deployment",,,"Infrastructure;deploy;dev"
,"Task",,,,"Infrastructure provisioning dev environment",,"Infrastructure;deploy;dev"
,"Task",,,,"VNet peering",,"Infrastructure;deploy;dev"
,"Task",,,,"Backend connectivity",,"Infrastructure;deploy;dev"
,"User Story",,,"Application deployment",,,"Application;deploy;dev"
,"Task",,,,"Develop deployment pipeline to dev environment",,"Infrastructure;deploy;dev"
